548 -51 -5313
549 -50 -4347
550 -49 -3381
551 -48 -2415
552 -47 -1449
553 -46 -483
554 -45 483
555 -44 1449
556 -43 2415
557 -42 3381
558 -41 4347
559 -40 5313
560 -39 6279
561 -38 7245
562 -37 8211
563 -36 9177
564 -35 10143
565 -34 11109
566 -33 12075
567 -32 13041
568 -31 14007
569 -30 14973
570 -29 15939
571 -28 16905
572 -27 17871
573 -26 18837
574 -25 19803
575 -24 20769
576 -23 21735
577 -22 22701
578 -21 23667
579 -20 24633
580 -19 25599
581 -18 26565
582 -17 27531
583 -16 28497
584 -15 29463
585 -14 30429
586 -13 31395
587 -12 32359
588 -11 -32215
589 -10 -31257
590 -9 -30303
591 -8 -29355
592 -7 -28413
593 -6 -27479
594 -5 -26553
595 -4 -25637
596 -3 -24731
597 -2 -23837
598 -1 -22955
599 0 -22087
600 1 -21233
